[Wed May 29 10:22:04.168 2013] 0.003 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] paytest
[Wed May 29 10:22:11.465 2013] 0.000 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 10:28:28.614 2013] 0.003 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 10:34:26.406 2013] 0.004 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 10:39:29.991 2013] 0.005 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 10:40:07.410 2013] 0.004 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 11:11:44.962 2013] 0.005 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 11:14:42.722 2013] 0.004 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Wed May 29 11:23:14.589 2013] 0.000 sec [ext2/0/rel 0 (0,1000)] [sys_apps_search] 魔
[Tue Jun  4 08:52:05.014 2013] 0.008 sec [ext2/0/rel 5 (0,1000)] [shopstorename_search] 王刚
[Thu Jun  6 17:57:44.606 2013] 0.005 sec [ext2/0/rel 0 (0,1000)] [promotitle_search] 王刚
[Thu Jun  6 17:58:00.676 2013] 0.000 sec [ext2/0/rel 0 (0,1000)] [promotitle_search] 复地
[Thu Jun  6 17:58:08.986 2013] 0.001 sec [ext2/0/rel 0 (0,1000)] [promotitle_search] 测试
[Thu Jun  6 17:58:25.777 2013] 0.000 sec [ext2/0/rel 0 (0,1000)] [promotitle_search] 测
[Thu Jun  6 18:00:30.672 2013] 0.000 sec [ext2/0/rel 0 (0,1000)] [promotitle_search] 复地
[Thu Jun  6 18:01:06.158 2013] 0.001 sec [ext2/0/rel 0 (0,1000)] [promotitle_search] 复地
[Tue Jul 30 14:02:24.327 2013] 0.005 sec [ext2/0/rel 124 (0,1000)] [shopstore_search] 马来
